X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
2019.542	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.545	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.548	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.551	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.553	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.556	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.559	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.561	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.564	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.567	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.570	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.572	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.575	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.578	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.580	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.583	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.586	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.589	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.591	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.594	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.597	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.599	72.37	2.71	12.20	10.40	9.04	8.75	13.88
2019.602	72.37	2.77	12.15	10.40	9.04	8.75	13.88
2019.605	72.37	2.82	12.09	10.40	9.04	8.75	13.88
2019.608	72.37	2.88	12.04	10.40	9.04	8.75	13.88
2019.610	72.37	2.99	11.93	10.40	9.04	8.75	13.88
2019.613	72.37	3.04	11.87	10.40	9.04	8.75	13.88
2019.616	72.37	3.10	11.82	10.40	9.04	8.75	13.88
2019.618	72.37	3.11	11.80	10.40	9.04	8.75	13.88
2019.621	72.37	3.11	11.80	10.40	9.04	8.75	13.88
2019.624	72.37	3.11	11.80	10.40	9.04	8.75	13.88
2019.627	72.37	3.11	11.80	10.40	9.04	8.75	13.88
2019.629	72.37	3.11	11.80	10.40	9.04	8.75	13.88
2019.632	72.37	3.11	11.80	10.40	9.04	8.75	13.88
2019.635	72.37	3.11	11.80	10.40	9.04	8.75	13.88
2019.637	72.37	3.11	11.80	10.42	9.02	8.75	13.88
2019.640	72.37	3.11	11.80	10.47	8.97	8.75	13.88
2019.643	72.37	3.11	11.80	10.52	8.92	8.75	13.88
2019.645	72.37	3.11	11.80	10.57	8.87	8.75	13.88
2019.648	72.37	3.11	11.80	10.62	8.82	8.75	13.88
2019.651	72.37	3.11	11.80	10.67	8.77	8.75	13.88
2019.654	72.37	3.11	11.80	10.72	8.72	8.75	13.88
2019.656	72.37	3.11	11.80	10.77	8.67	8.75	13.88
2019.659	72.37	3.11	11.80	10.84	8.60	8.75	13.88
2019.662	72.37	3.11	11.80	10.83	8.61	8.75	13.88
2019.664	72.37	3.11	11.80	10.83	8.61	8.75	13.88
2019.667	72.37	3.11	11.80	10.82	8.61	8.75	13.88
2019.670	72.37	3.11	11.80	10.82	8.62	8.75	13.88
2019.673	72.37	3.11	11.80	10.82	8.62	8.75	13.88
2019.675	72.37	3.11	11.80	10.81	8.63	8.75	13.88
2019.678	72.37	3.11	11.80	10.81	8.63	8.75	13.88
2019.681	72.37	3.11	11.80	10.80	8.63	8.75	13.88
2019.683	72.37	3.11	11.80	10.80	8.62	8.77	13.88
2019.686	72.37	3.11	11.80	10.79	8.61	8.78	13.88
2019.689	72.37	3.11	11.80	10.79	8.61	8.79	13.88
2019.692	72.37	3.03	11.88	10.79	8.60	8.80	13.88
2019.694	72.37	2.99	11.92	10.78	8.59	8.81	13.88
2019.697	72.37	2.96	11.96	10.78	8.59	8.82	13.88
2019.700	72.37	2.92	12.00	10.77	8.58	8.83	13.88
2019.702	72.37	2.88	12.03	10.77	8.58	8.84	13.88
2019.705	72.37	2.84	12.07	10.76	8.57	8.85	13.88
2019.708	72.37	2.80	12.11	10.76	8.56	8.86	13.88
2019.711	72.37	2.76	12.15	10.75	8.56	8.87	13.88
2019.713	72.37	2.69	12.23	10.75	8.55	8.88	13.88
2019.716	72.37	2.65	12.26	10.74	8.55	8.90	13.88
2019.719	72.37	2.61	12.30	10.74	8.54	8.91	13.88
2019.721	72.37	2.57	12.34	10.74	8.53	8.92	13.88
2019.724	72.37	2.53	12.38	10.73	8.53	8.93	13.88
2019.727	72.37	2.49	12.42	10.73	8.52	8.94	13.88
2019.730	72.37	2.46	12.46	10.72	8.51	8.95	13.88
2019.732	72.37	2.42	12.50	10.72	8.51	8.96	13.88
2019.735	72.37	2.38	12.53	10.72	8.50	8.97	13.88
2019.738	72.37	2.30	12.61	10.71	8.49	8.98	13.88
2019.740	72.37	2.26	12.65	10.71	8.48	9.00	13.88
2019.743	72.37	2.23	12.69	10.70	8.47	9.01	13.88
2019.746	72.37	2.19	12.73	10.70	8.46	9.02	13.88
2019.749	72.37	2.15	12.76	10.70	8.46	9.03	13.88
2019.751	72.37	2.11	12.80	10.69	8.45	9.04	13.88
2019.754	72.37	2.07	12.84	10.69	8.45	9.05	13.88
2019.757	72.37	2.03	12.88	10.68	8.44	9.06	13.88
2019.759	72.37	1.99	12.92	10.68	8.44	9.07	13.88
2019.762	72.37	1.92	12.99	10.67	8.44	9.07	13.88
2019.765	72.37	1.88	13.03	10.67	8.44	9.07	13.88
2019.767	72.37	1.84	13.07	10.67	8.45	9.07	13.88
2019.770	72.37	1.80	13.11	10.66	8.45	9.07	13.88
2019.773	72.37	1.76	13.15	10.66	8.46	9.07	13.88
2019.776	72.37	1.73	13.19	10.65	8.46	9.07	13.88
2019.778	72.37	1.69	13.23	10.65	8.46	9.07	13.88
2019.781	72.37	1.65	13.26	10.65	8.47	9.07	13.88
2019.784	72.37	1.57	13.34	10.64	8.47	9.07	13.88
2019.786	72.37	1.53	13.38	10.64	8.48	9.07	13.88
2019.789	72.37	1.50	13.42	10.63	8.48	9.07	13.88
2019.792	72.37	1.46	13.46	10.68	8.44	9.07	13.88
2019.795	72.37	1.42	13.49	10.80	8.31	9.07	13.88
2019.797	72.37	1.38	13.53	10.86	8.25	9.07	13.88
2019.800	72.37	1.34	13.57	10.92	8.19	9.07	13.88
2019.803	72.37	1.30	13.61	10.99	8.13	9.07	13.88
2019.805	72.37	1.26	13.65	11.05	8.07	9.07	13.88
2019.808	72.37	1.19	13.72	11.11	8.00	9.07	13.88
2019.811	72.37	1.15	13.76	11.17	7.94	9.07	13.88
2019.814	72.37	1.11	13.80	11.20	7.91	9.07	13.88
2019.816	72.37	1.07	13.84	11.20	7.92	9.07	13.88
2019.819	72.37	1.04	13.87	11.20	7.92	9.07	13.88
2019.822	72.37	1.03	13.88	11.19	7.92	9.07	13.88
2019.824	72.37	1.03	13.88	11.19	7.93	9.07	13.88
2019.827	72.37	1.03	13.88	11.18	7.93	9.07	13.88
2019.830	72.37	1.03	13.88	11.18	7.93	9.07	13.88
2019.833	72.37	1.03	13.88	11.18	7.94	9.07	13.88
2019.835	72.37	1.03	13.88	11.17	7.94	9.07	13.88
2019.838	72.37	1.03	13.88	11.17	7.94	9.07	13.88
2019.841	72.37	1.03	13.88	11.17	7.95	9.07	13.88
2019.843	72.37	1.03	13.88	11.16	7.98	9.04	13.88
2019.846	72.37	1.03	13.88	11.16	8.01	9.02	13.88
2019.849	72.37	1.03	13.88	11.15	8.04	9.00	13.88
2019.852	72.37	1.03	13.88	11.15	8.07	8.97	13.88
2019.854	72.37	1.03	13.88	11.15	8.12	8.92	13.88
2019.857	72.37	1.03	13.88	11.14	8.15	8.90	13.88
2019.860	72.37	1.03	13.88	11.14	8.18	8.87	13.88
2019.862	72.37	1.03	13.88	11.13	8.20	8.85	13.88
2019.865	72.34	1.06	13.88	11.13	8.23	8.82	13.88
2019.868	72.29	1.11	13.88	11.13	8.26	8.80	13.88
2019.871	72.25	1.15	13.88	11.12	8.29	8.77	13.88
2019.873	72.24	1.16	13.88	11.12	8.32	8.75	13.88
2019.876	72.24	1.17	13.88	11.12	8.35	8.71	13.88
2019.879	72.22	1.18	13.88	11.11	8.42	8.65	13.88
2019.881	72.21	1.19	13.88	11.11	8.42	8.65	13.88
2019.884	72.20	1.20	13.88	11.11	8.42	8.65	13.88
2019.887	72.20	1.21	13.88	11.10	8.43	8.65	13.88
2019.889	72.19	1.21	13.88	11.10	8.43	8.65	13.88
2019.892	72.18	1.22	13.88	11.10	8.44	8.65	13.88
2019.895	72.17	1.23	13.88	11.09	8.44	8.65	13.88
2019.898	72.16	1.24	13.88	11.08	8.45	8.65	13.88
2019.900	72.15	1.25	13.88	11.05	8.48	8.65	13.88
2019.903	72.14	1.26	13.88	11.01	8.52	8.65	13.88
2019.906	72.13	1.27	13.88	10.97	8.56	8.65	13.88
2019.908	72.12	1.28	13.88	10.92	8.61	8.65	13.88
2019.911	72.11	1.29	13.88	10.88	8.65	8.65	13.88
2019.914	72.10	1.30	13.88	10.84	8.69	8.65	13.88
2019.917	72.10	1.31	13.88	10.76	8.77	8.65	13.88
2019.919	72.09	1.31	13.88	10.71	8.82	8.65	13.88
2019.922	72.08	1.32	13.88	10.67	8.86	8.65	13.88
2019.925	72.07	1.33	13.88	10.63	8.90	8.65	13.88
2019.927	72.06	1.35	13.91	10.56	8.94	8.65	13.88
2019.930	72.05	1.35	13.97	10.45	8.99	8.65	13.88
2019.933	72.04	1.36	14.03	10.35	9.03	8.65	13.88
2019.936	72.03	1.37	14.05	10.29	9.07	8.65	13.88
2019.938	72.02	1.38	14.07	10.23	9.11	8.65	13.88
2019.941	72.01	1.39	14.11	10.17	9.13	8.65	13.88
2019.944	72.01	1.40	14.13	10.15	9.13	8.65	13.88
2019.946	72.00	1.40	14.15	10.13	9.13	8.65	13.88
2019.949	71.98	1.42	14.17	10.11	9.13	8.65	13.88
2019.952	71.97	1.43	14.19	10.09	9.13	8.65	13.88
2019.955	71.96	1.44	14.21	10.06	9.13	8.65	13.88
2019.957	71.96	1.45	14.21	10.06	9.13	8.65	13.88
2019.960	71.95	1.45	14.21	10.06	9.13	8.65	13.88
2019.963	71.94	1.46	14.21	10.06	9.13	8.65	13.88
2019.965	71.93	1.47	14.21	10.06	9.13	8.65	13.88
2019.968	71.92	1.48	14.21	10.06	9.13	8.65	13.88
2019.971	71.92	1.49	14.21	10.06	9.13	8.65	13.88
2019.974	71.90	1.50	14.21	10.06	9.13	8.65	13.88
2019.976	71.89	1.51	14.21	10.07	9.13	8.65	13.88
2019.979	71.88	1.52	14.21	10.08	9.12	8.65	13.88
2019.982	71.87	1.53	14.21	10.09	9.11	8.65	13.88
2019.984	71.87	1.54	14.21	10.10	9.10	8.65	13.88
2019.987	71.86	1.54	14.21	10.12	9.08	8.65	13.88
2019.990	71.85	1.55	14.21	10.13	9.07	8.65	13.88
2019.993	71.84	1.56	14.21	10.15	9.05	8.65	13.88
2019.995	71.83	1.57	14.21	10.16	9.04	8.65	13.88
2019.998	71.82	1.59	14.21	10.19	9.01	8.65	13.88
2020.001	71.81	1.59	14.21	10.20	9.00	8.65	13.88
2020.003	71.80	1.60	14.21	10.22	8.98	8.65	13.88
2020.006	71.79	1.61	14.21	10.23	8.97	8.65	13.88
2020.009	71.78	1.62	14.21	10.25	8.95	8.65	13.88
2020.012	71.78	1.63	14.21	10.26	8.94	8.65	13.88
2020.014	71.77	1.63	14.21	10.28	8.93	8.65	13.88
2020.017	71.76	1.64	14.21	10.29	8.91	8.65	13.88
2020.020	71.74	1.66	14.20	10.31	8.90	8.65	13.88
2020.022	71.73	1.67	14.20	10.33	8.87	8.65	13.88
2020.025	71.73	1.68	14.20	10.35	8.86	8.65	13.88
2020.028	71.72	1.68	14.20	10.36	8.84	8.65	13.88
2020.030	71.71	1.69	14.20	10.38	8.83	8.65	13.88
2020.033	71.70	1.70	14.20	10.39	8.81	8.65	13.88
2020.036	71.69	1.71	14.20	10.41	8.80	8.65	13.88
2020.039	71.68	1.72	14.20	10.42	8.79	8.65	13.88
2020.041	71.68	1.73	14.20	10.44	8.77	8.65	13.88
2020.044	71.66	1.74	14.20	10.46	8.74	8.65	13.88
2020.047	71.65	1.75	14.20	10.48	8.73	8.65	13.88
2020.049	71.64	1.76	14.20	10.49	8.71	8.65	13.88
2020.052	71.64	1.77	14.20	10.51	8.70	8.65	13.88
2020.055	71.63	1.77	14.20	10.52	8.69	8.65	13.88
2020.058	71.62	1.78	14.20	10.54	8.67	8.65	13.88
2020.060	71.61	1.79	14.20	10.54	8.67	8.65	13.88
2020.063	71.60	1.80	14.20	10.53	8.68	8.65	13.88
2020.066	71.59	1.81	14.20	10.53	8.68	8.65	13.88
2020.068	71.58	1.82	14.20	10.53	8.68	8.65	13.88
