X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.001	37.92	46.88	57.15	70.59	84.10	97.30	103.42
0.004	37.92	46.88	57.15	70.59	84.10	97.30	103.42
0.007	37.92	46.88	57.15	70.59	84.10	97.30	103.42
0.010	37.92	46.88	57.15	70.59	84.10	97.30	103.42
0.012	37.92	46.88	57.15	70.59	84.10	97.30	103.42
0.015	37.92	46.88	57.15	70.59	84.10	97.30	103.42
0.018	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.021	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.023	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.026	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.029	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.032	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.034	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.037	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.040	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.042	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.045	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.048	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.051	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.053	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.056	37.92	46.88	57.15	70.51	84.10	97.30	103.42
0.059	37.92	46.88	57.33	70.51	84.10	97.30	103.42
0.062	37.92	46.88	57.33	70.51	84.10	97.30	103.42
0.064	37.92	46.89	57.33	70.51	84.10	97.30	103.42
0.067	37.92	46.89	57.33	70.51	84.10	97.30	103.42
0.070	37.92	46.89	57.33	70.51	84.10	97.30	103.42
0.073	37.92	46.89	57.33	70.51	84.10	97.30	103.42
0.075	37.92	46.89	57.33	70.51	84.10	97.30	103.42
0.078	37.92	46.89	57.33	70.51	84.10	97.30	103.42
0.081	37.92	46.90	57.33	70.51	84.10	97.30	103.42
0.084	37.92	46.90	57.33	70.51	84.10	97.30	103.42
0.086	37.92	46.90	57.33	70.51	84.10	97.30	103.42
0.089	37.92	46.90	57.33	70.51	84.10	97.30	103.42
0.092	37.92	46.90	57.33	70.51	84.10	97.30	103.42
0.095	37.90	46.90	57.33	70.51	84.10	97.30	103.42
0.097	37.88	46.91	57.33	70.51	84.10	97.30	103.42
0.100	37.86	46.91	57.33	70.51	84.10	97.30	103.42
0.103	37.84	46.91	57.33	70.51	84.11	97.30	103.42
0.105	37.82	46.91	57.34	70.51	84.12	97.30	103.42
0.108	37.80	46.91	57.34	70.51	84.15	97.30	103.42
0.111	37.80	46.92	57.34	70.51	84.16	97.30	103.42
0.114	37.80	46.92	57.34	70.51	84.18	97.30	103.42
0.116	37.80	46.92	57.34	70.51	84.19	97.30	103.53
0.119	37.80	46.92	57.34	70.51	84.20	97.30	103.70
0.122	37.80	46.92	57.34	70.51	84.22	97.30	103.87
0.125	37.80	46.92	57.34	70.51	84.24	97.30	104.04
0.127	37.80	46.92	57.34	70.51	84.25	97.30	104.27
0.130	37.80	46.92	57.34	70.35	84.27	97.30	104.27
0.133	37.80	46.92	57.34	70.35	84.27	97.30	104.27
0.136	37.80	46.92	57.34	70.35	84.27	97.30	104.27
0.138	37.80	46.92	57.36	70.35	84.27	97.30	104.27
0.141	37.80	46.92	57.36	70.35	84.27	97.30	104.27
0.144	37.80	46.92	57.36	70.35	84.27	97.30	104.27
0.147	37.80	46.92	57.36	70.35	84.27	97.30	104.27
0.149	37.80	46.91	57.36	70.35	84.27	97.30	104.27
0.152	37.80	46.91	57.36	70.35	84.27	97.30	104.27
0.155	37.80	46.90	57.36	70.35	84.27	97.30	104.27
0.158	37.80	46.89	57.34	70.32	84.27	97.30	104.27
0.160	37.80	46.88	57.34	70.28	84.27	97.30	104.27
0.163	37.80	46.87	57.34	70.28	84.27	97.30	104.27
0.166	37.80	46.87	57.34	70.28	84.27	97.30	104.27
0.168	37.80	46.86	57.34	70.28	84.27	97.30	104.27
0.171	37.80	46.86	57.34	70.28	84.27	97.30	104.27
0.174	37.80	46.84	57.34	70.28	84.27	97.30	104.27
0.177	37.80	46.82	57.34	70.28	84.27	97.29	104.27
0.179	37.80	46.77	57.34	70.28	84.27	97.29	104.27
0.182	37.80	46.75	57.34	70.28	84.27	97.29	104.27
0.185	37.80	46.72	57.34	70.28	84.27	97.29	104.27
0.188	37.80	46.70	57.34	70.28	84.27	97.29	104.27
0.190	37.80	46.71	57.34	70.28	84.27	97.29	104.27
0.193	37.86	46.72	57.34	70.51	84.27	97.28	104.27
0.196	38.02	46.73	57.34	70.51	84.29	97.28	104.27
0.199	38.21	46.75	57.34	70.51	84.28	97.28	104.27
0.201	38.41	46.76	57.34	70.46	84.28	97.28	104.27
0.204	38.50	46.77	57.34	70.42	84.27	97.28	104.27
0.207	38.50	46.79	57.30	70.35	84.27	97.28	104.27
0.210	38.50	46.81	57.27	70.32	84.27	97.28	104.27
0.212	38.50	46.82	57.29	70.28	84.27	97.27	104.27
0.215	38.50	46.83	57.31	70.28	84.27	97.27	104.27
0.218	38.50	46.85	57.34	70.28	84.27	97.27	104.27
0.221	38.50	46.86	57.34	70.28	84.28	97.27	104.27
0.223	38.50	46.86	57.34	70.30	84.30	97.27	104.27
0.226	38.50	46.86	57.34	70.33	84.32	97.27	104.16
0.229	38.53	46.86	57.33	70.36	84.32	97.27	103.94
0.232	38.60	46.87	57.33	70.40	84.32	97.27	103.72
0.234	38.74	46.74	57.33	70.43	84.32	97.27	103.50
0.237	38.81	46.61	57.33	70.47	84.32	97.27	103.42
0.240	38.88	46.53	57.33	70.50	84.32	97.12	103.42
0.242	38.91	46.43	57.33	70.51	84.32	97.10	103.42
0.245	38.91	46.38	57.33	70.51	84.32	97.10	103.42
0.248	38.91	46.38	57.33	70.28	84.32	97.10	103.42
0.251	38.91	46.41	57.33	70.28	84.32	97.10	103.42
0.253	38.91	46.44	57.33	70.28	84.32	97.10	103.42
0.256	38.91	46.36	57.33	70.28	84.32	97.10	103.42
0.259	38.91	46.18	57.33	70.28	84.33	97.10	103.42
0.262	38.91	46.17	57.33	70.28	84.34	97.10	103.42
0.264	38.91	46.17	57.33	70.28	84.35	97.10	103.42
0.267	38.91	46.15	57.34	70.28	84.36	97.04	103.42
0.270	38.91	46.09	57.34	70.28	84.56	97.03	103.42
0.273	38.91	45.98	57.34	70.28	84.56	97.03	103.42
0.275	38.91	46.01	57.34	70.25	84.56	97.02	103.42
0.278	38.91	46.03	57.34	70.25	84.56	96.91	103.42
0.281	38.91	46.03	57.34	70.25	84.56	96.90	103.42
0.284	38.91	46.03	57.34	70.25	84.56	96.90	103.42
0.286	38.91	45.99	57.34	70.25	84.56	96.89	103.42
0.289	38.91	45.94	57.34	70.25	84.56	96.89	103.42
0.292	38.91	45.83	57.34	70.25	84.56	96.88	103.42
0.295	38.91	45.71	57.34	70.25	84.56	96.87	103.42
0.297	38.91	45.64	57.34	70.25	84.56	96.87	103.42
0.300	38.91	45.65	57.35	70.28	84.56	96.86	103.42
0.303	38.91	45.66	57.36	70.28	84.56	96.86	103.42
0.305	38.91	45.66	57.36	70.28	84.56	96.85	103.42
0.308	38.91	45.67	57.36	70.28	84.56	96.84	103.42
0.311	38.91	45.67	57.40	70.28	84.56	96.83	103.42
0.314	38.91	45.68	57.45	70.28	84.56	96.83	103.42
0.316	38.91	45.69	57.46	70.28	84.56	96.82	103.42
0.319	38.91	45.75	57.48	70.28	84.56	96.82	103.42
0.322	38.91	45.77	57.50	70.28	84.56	96.81	103.42
0.325	38.91	45.79	57.52	70.28	84.56	96.80	103.42
0.327	38.91	45.87	57.54	70.28	84.56	96.80	103.42
0.330	38.93	45.91	57.56	70.28	84.62	96.79	103.42
0.333	38.94	45.96	57.58	70.28	84.63	96.79	103.42
0.336	38.96	46.04	57.60	70.28	84.64	96.79	103.42
0.338	38.92	46.06	57.61	70.28	84.64	96.79	103.42
