X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.001	53.15	62.93	74.75	87.16	99.72	110.76	115.37
0.004	53.15	62.93	74.75	87.16	99.72	110.76	115.37
0.007	53.15	62.93	74.75	87.16	99.72	110.76	115.37
0.010	53.15	62.93	74.75	87.16	99.72	110.76	115.37
0.012	53.15	62.93	74.75	87.16	99.72	110.76	115.37
0.015	53.15	62.93	74.75	87.16	99.72	110.76	115.37
0.018	53.15	62.96	74.75	87.16	99.72	110.76	115.37
0.021	53.15	62.99	74.75	87.16	99.72	110.76	115.37
0.023	53.15	63.03	74.75	87.16	99.72	110.76	115.37
0.026	53.15	63.05	74.75	87.16	99.72	110.76	115.37
0.029	53.15	63.08	74.75	87.00	99.72	110.76	115.37
0.032	53.15	63.10	74.75	86.96	99.72	110.76	115.37
0.034	53.15	63.12	74.75	86.96	99.72	110.76	115.37
0.037	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.040	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.042	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.045	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.048	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.051	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.053	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.056	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.059	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.062	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.064	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.067	53.15	63.14	74.75	86.96	99.72	110.76	115.37
0.070	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.073	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.075	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.078	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.081	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.084	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.086	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.089	53.15	63.14	74.75	86.92	99.72	110.76	115.37
0.092	53.15	62.97	74.75	86.92	99.72	110.76	115.37
0.095	53.15	62.84	74.73	86.92	99.72	110.76	115.37
0.097	53.15	62.84	74.69	86.92	99.72	110.76	115.37
0.100	53.15	62.84	74.69	86.92	99.72	110.76	115.37
0.103	53.15	62.84	74.75	86.92	99.72	110.76	115.37
0.105	53.15	62.84	74.75	86.92	99.72	110.76	115.37
0.108	53.15	62.84	74.75	86.92	99.72	110.76	115.37
0.111	53.15	62.84	74.75	86.92	99.72	110.76	115.37
0.114	53.15	62.84	74.75	86.92	99.72	110.76	115.37
0.116	53.15	62.84	74.75	86.92	99.72	110.76	115.37
0.119	53.15	62.84	74.66	86.92	99.72	110.76	115.37
0.122	53.15	62.84	74.66	86.92	99.72	110.76	115.37
0.125	53.15	62.83	74.66	86.92	99.72	110.76	115.37
0.127	53.15	62.75	74.66	86.92	99.82	110.76	115.37
0.130	53.15	62.67	74.66	86.92	99.82	110.76	115.37
0.133	53.15	62.65	74.66	86.92	99.82	110.76	115.37
0.136	53.15	62.65	74.69	86.92	99.82	110.76	115.37
0.138	53.15	62.65	74.75	86.92	99.82	110.68	115.37
0.141	53.15	62.65	74.75	86.92	99.82	110.61	115.37
