X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
2019.501	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.504	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.507	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.510	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.512	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.515	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.518	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.521	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.523	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.526	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.529	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.532	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.534	47.20	8.33	14.38	15.39	11.00	8.86	6.48
2019.537	47.20	8.37	14.34	15.39	11.00	8.86	6.48
2019.540	47.20	8.38	14.33	15.39	11.00	8.86	6.48
2019.542	47.20	8.38	14.33	15.39	11.00	8.86	6.48
2019.545	47.20	8.38	14.33	15.39	11.00	8.86	6.48
2019.548	47.20	8.38	14.33	15.39	11.00	8.86	6.48
2019.551	47.20	8.42	14.30	15.39	11.00	8.86	6.48
2019.553	47.20	8.46	14.25	15.39	11.00	8.86	6.48
2019.556	47.20	8.46	14.25	15.39	11.00	8.86	6.48
2019.559	47.20	8.46	14.25	15.39	10.99	8.86	6.48
2019.562	47.20	8.46	14.25	15.30	11.07	8.87	6.48
2019.564	47.21	8.45	14.25	15.17	11.20	8.87	6.48
2019.567	47.21	8.45	14.25	15.17	11.20	8.87	6.48
2019.570	47.22	8.44	14.25	15.16	11.21	8.88	6.48
2019.573	47.22	8.44	14.25	15.10	11.26	8.88	6.48
2019.575	47.23	8.43	14.25	15.09	11.27	8.88	6.65
2019.578	47.23	8.43	14.25	15.09	11.26	8.89	6.69
2019.581	47.24	8.43	14.25	15.09	11.26	8.89	6.69
2019.584	47.24	8.42	14.25	15.09	11.25	8.89	6.69
