X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.001	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.004	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.007	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.010	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.012	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.015	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.018	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.021	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.023	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.026	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.029	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.031	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.034	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.037	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.040	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.042	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.045	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.048	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.051	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.053	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.056	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.059	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.062	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.064	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.067	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.070	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.072	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.075	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.078	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.081	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.083	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.086	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.089	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.092	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.094	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.097	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.100	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.103	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.105	50.97	62.19	79.10	93.23	102.65	113.30	120.66
0.108	50.97	62.19	79.10	93.23	102.65	113.30	120.66
