X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.001	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.004	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.007	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.010	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.012	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.015	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.018	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.021	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.023	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.026	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.029	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.031	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.034	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.037	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.040	34.07	41.52	54.86	67.99	83.48	97.67	104.42
0.042	34.07	41.52	54.86	67.94	83.48	97.67	104.42
0.045	34.07	41.52	54.85	67.94	83.48	97.67	104.42
0.048	34.07	41.52	54.84	67.94	83.48	97.67	104.42
0.051	34.07	41.52	54.84	67.94	83.48	97.67	104.42
0.053	34.06	41.52	54.83	67.94	83.48	97.67	104.42
0.056	34.06	41.52	54.82	67.94	83.48	97.67	104.42
0.059	34.06	41.52	54.81	67.94	83.48	97.67	104.42
0.062	34.05	41.52	54.79	67.94	83.48	97.67	104.42
0.064	34.05	41.52	54.50	67.94	83.48	97.67	104.42
0.067	34.05	41.52	54.50	67.94	83.48	97.67	104.42
0.070	34.05	41.52	54.50	67.94	83.48	97.67	104.42
0.072	34.04	41.52	54.50	67.94	83.48	97.67	104.42
0.075	34.04	41.52	54.50	67.94	83.48	97.67	104.42
0.078	34.04	41.52	54.50	67.94	83.48	97.67	104.42
0.081	34.03	41.52	54.50	67.94	83.48	97.67	104.42
0.083	34.03	41.52	54.50	67.94	83.38	97.67	104.42
0.086	34.03	41.52	54.50	67.94	83.27	97.67	104.42
0.089	34.03	41.52	54.49	67.94	83.21	97.67	104.42
0.092	34.03	41.52	54.48	67.94	83.18	97.67	104.42
0.094	34.03	41.52	54.48	67.94	83.15	97.67	104.42
0.097	34.03	41.52	54.50	67.94	83.15	97.67	104.42
0.100	34.03	41.52	54.53	67.94	83.15	97.67	104.42
