X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.001	49.48	57.78	69.28	85.11	97.14	107.00	112.50
0.004	49.48	57.78	69.28	85.11	97.14	107.00	112.50
0.007	49.48	57.78	69.28	85.12	97.14	107.00	112.50
0.010	49.48	57.78	69.28	85.13	97.14	107.00	112.50
0.012	49.48	57.78	69.28	85.14	97.14	107.00	112.50
0.015	49.48	57.78	69.28	85.16	97.14	107.00	112.50
0.018	49.48	57.78	69.28	85.17	97.14	107.00	112.50
0.021	49.48	57.78	69.28	85.18	97.14	107.00	112.50
0.023	49.48	57.78	69.28	85.19	97.14	107.00	112.50
0.026	49.48	57.78	69.28	85.20	97.14	107.00	112.50
0.029	49.48	57.78	69.28	85.21	97.14	107.00	112.50
0.031	49.48	57.78	69.28	85.22	97.14	107.00	112.50
0.034	49.48	57.78	69.28	85.23	97.14	107.00	112.50
0.037	49.48	57.78	69.28	85.24	97.14	107.00	112.50
0.040	49.48	57.78	69.28	85.25	97.14	107.00	112.50
0.042	49.48	57.78	69.28	85.26	97.14	107.00	112.50
0.045	49.48	57.78	69.28	85.29	97.14	107.00	112.50
0.048	49.48	57.65	69.28	85.30	97.14	107.00	112.50
0.051	49.48	57.64	69.28	85.30	97.14	107.00	112.50
0.053	49.48	57.64	69.28	85.30	97.14	107.00	112.50
0.056	49.48	57.64	69.28	85.31	97.14	107.00	112.50
0.059	49.48	57.64	69.28	85.32	97.14	107.00	112.50
0.062	49.48	57.64	69.28	85.33	97.14	107.00	112.50
0.064	49.48	57.64	69.28	85.35	97.14	107.00	112.50
0.067	49.48	57.64	69.28	85.36	97.14	107.00	112.50
0.070	49.48	57.64	69.28	85.37	97.14	107.00	112.50
0.072	49.48	57.64	69.28	85.38	97.14	107.00	112.50
0.075	49.48	57.64	69.28	85.39	97.14	107.00	112.50
0.078	49.48	57.64	69.28	85.40	97.14	107.00	112.50
0.081	49.48	57.64	69.28	85.40	97.14	107.00	112.50
0.083	49.48	57.64	69.28	85.41	97.14	107.00	112.50
0.086	49.48	57.64	69.28	85.43	97.14	107.00	112.45
0.089	49.48	57.64	69.28	85.44	97.14	107.00	112.45
0.092	49.48	57.64	69.28	85.45	97.14	107.00	112.45
0.094	49.48	57.64	69.28	85.46	97.14	107.00	112.45
0.097	49.48	57.64	69.28	85.47	97.14	107.00	112.45
0.100	49.48	57.64	69.28	85.48	97.14	107.00	112.45
0.103	49.48	57.64	69.28	85.49	97.14	107.00	112.45
0.105	49.48	57.64	69.28	85.49	97.14	107.00	112.45
0.108	49.48	57.64	69.28	85.30	97.14	107.00	112.27
0.111	49.48	57.64	69.28	85.30	97.14	107.00	111.94
0.114	49.48	57.64	69.28	85.30	97.14	107.00	111.94
0.116	49.48	57.64	69.28	85.30	97.14	107.00	111.94
0.119	49.48	57.64	69.28	85.30	97.14	107.00	111.93
0.122	49.48	57.64	69.28	85.30	97.14	107.00	111.93
0.124	49.48	57.64	69.28	85.30	97.08	107.00	111.93
0.127	49.48	57.64	69.28	85.30	97.08	107.00	111.92
0.130	49.48	57.64	69.28	85.30	97.08	106.99	111.94
0.133	49.48	57.64	69.28	85.39	97.08	106.83	111.91
0.135	49.48	57.64	69.28	85.44	97.08	106.75	111.91
0.138	49.48	57.64	69.28	85.49	97.08	106.75	111.90
0.141	49.48	57.64	69.28	85.49	97.14	106.75	111.90
0.144	49.48	57.64	69.28	85.49	97.14	106.75	111.90
0.146	49.48	57.64	69.28	85.49	97.14	106.75	111.89
0.149	49.48	57.64	69.28	85.49	97.14	106.75	111.89
0.152	49.48	57.64	69.28	85.49	97.14	106.75	111.88
0.155	49.48	57.64	69.28	85.49	97.14	106.75	111.88
0.157	49.48	57.64	69.25	85.49	97.14	106.75	111.87
0.160	49.48	57.64	69.19	85.49	97.14	106.75	111.87
0.163	49.48	57.64	69.17	85.49	97.14	106.75	111.86
0.165	49.48	57.64	69.17	85.49	97.08	106.75	111.86
0.168	49.48	57.64	69.17	85.49	97.08	106.75	111.86
0.171	49.48	57.65	69.17	85.49	97.08	106.75	111.85
0.174	49.48	57.66	69.17	85.49	97.08	106.75	111.85
0.176	49.48	57.67	69.17	85.49	97.08	106.75	111.84
0.179	49.48	57.67	69.17	85.49	97.08	106.75	111.84
0.182	49.48	57.68	69.17	85.43	97.08	106.75	111.83
0.185	49.48	57.69	69.17	85.30	97.08	106.75	111.83
0.187	49.48	57.70	69.17	85.30	97.08	106.75	111.83
0.190	49.48	57.71	69.17	85.30	97.08	106.75	111.82
0.193	49.48	57.72	69.17	85.30	97.08	106.75	111.82
0.196	49.48	57.72	69.17	85.30	97.08	106.75	111.81
0.198	49.48	57.64	69.17	85.30	97.08	106.75	111.81
