X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
2019.501	44.29	4.70	18.95	15.42	10.70	10.67	5.01
2019.504	44.29	4.70	18.95	15.42	10.70	10.67	5.01
2019.507	44.29	4.70	18.95	15.42	10.70	10.67	5.01
2019.510	44.29	4.70	18.95	15.42	10.70	10.67	5.01
2019.512	44.29	4.70	18.95	15.42	10.70	10.67	5.01
2019.515	44.29	4.70	18.95	15.42	10.70	10.67	5.01
2019.518	44.29	4.70	18.95	15.42	10.70	10.67	5.01
2019.521	44.29	4.70	18.82	15.55	10.70	10.67	5.01
2019.523	44.29	4.70	18.81	15.56	10.70	10.67	5.01
2019.526	44.29	4.70	18.81	15.56	10.70	10.67	5.01
2019.529	44.29	4.70	18.81	15.56	10.70	10.67	5.01
2019.532	44.29	4.70	18.81	15.56	10.70	10.67	5.01
2019.534	44.29	4.70	18.81	15.56	10.70	10.67	5.01
2019.537	44.29	4.70	18.81	15.56	10.70	10.67	5.01
2019.540	44.29	4.70	18.81	15.56	10.70	10.67	5.01
2019.542	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.545	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.548	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.551	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.553	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.556	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.559	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.562	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.564	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.567	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.570	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.573	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.575	44.29	4.70	18.74	15.63	10.70	10.67	5.01
2019.578	44.29	4.64	18.80	15.63	10.70	10.67	5.01
2019.581	44.29	4.64	18.80	15.63	10.70	10.67	5.01
2019.584	44.29	4.64	18.80	15.63	10.70	10.67	5.01
2019.586	44.29	4.64	18.80	15.55	10.78	10.67	5.01
2019.589	44.06	4.86	18.80	15.55	10.79	10.67	5.01
2019.592	43.92	5.01	18.80	15.55	10.79	10.67	5.01
2019.595	43.77	5.15	18.80	15.55	10.79	10.67	5.01
2019.597	43.58	5.34	18.80	15.55	10.79	10.67	5.01
2019.600	43.37	5.56	18.80	15.55	10.79	10.67	5.01
2019.603	43.15	5.75	18.83	15.55	10.79	10.67	5.01
2019.605	42.94	5.93	18.85	15.55	10.79	10.67	5.01
2019.608	42.73	6.15	18.85	15.55	10.79	10.67	5.01
2019.611	42.64	6.26	18.83	15.55	10.79	10.67	5.01
2019.614	42.64	6.29	18.80	15.55	10.79	10.67	5.01
2019.616	42.64	6.29	18.80	15.53	10.87	10.60	5.01
2019.619	42.64	6.29	18.80	15.34	11.13	10.53	5.01
2019.622	42.64	6.29	18.80	15.25	11.26	10.49	5.01
2019.625	42.64	6.29	18.80	15.15	11.35	10.49	5.01
2019.627	42.64	6.29	18.80	15.14	11.36	10.49	5.01
2019.630	42.64	6.29	18.80	15.14	11.36	10.49	5.01
2019.633	42.64	6.29	18.80	15.13	11.37	10.49	5.00
2019.636	42.64	6.29	18.80	15.14	11.36	10.49	4.99
2019.638	42.64	6.29	18.80	15.14	11.36	10.49	4.97
2019.641	42.64	6.29	18.80	15.14	11.36	10.49	4.96
2019.644	42.64	6.29	18.80	15.14	11.36	10.49	4.96
2019.647	42.64	6.29	18.87	15.08	11.36	10.49	4.95
2019.649	42.64	6.29	18.87	15.08	11.36	10.49	4.93
2019.652	42.63	6.29	18.88	15.06	11.36	10.49	4.92
2019.655	42.63	6.34	18.85	15.05	11.36	10.49	4.91
2019.658	42.63	6.38	18.84	15.03	11.36	10.49	4.91
2019.660	42.63	6.40	18.84	15.01	11.36	10.49	4.89
2019.663	42.63	6.44	18.82	14.99	11.36	10.49	4.88
2019.666	42.63	6.47	18.80	14.97	11.36	10.49	4.87
