X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.001	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.004	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.007	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.010	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.012	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.015	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.018	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.021	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.023	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.026	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.029	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.031	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.034	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.037	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.040	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.042	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.045	62.57	72.57	80.64	95.92	105.24	114.61	126.22
0.048	62.57	72.57	80.80	95.92	105.24	114.61	126.22
0.051	62.57	72.57	80.82	95.92	105.24	114.61	126.22
0.053	62.57	72.57	80.82	95.92	105.24	114.61	126.22
0.056	62.57	72.57	80.82	95.92	105.24	114.61	126.22
0.059	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.062	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.064	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.067	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.070	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.072	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.075	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.078	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.081	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.083	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.086	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.089	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.092	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.094	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.097	62.57	72.56	80.82	95.92	105.24	114.61	126.22
0.100	62.57	72.56	80.82	95.92	105.24	114.61	126.22
