X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
2019.501	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.504	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.507	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.510	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.512	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.515	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.518	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.521	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.523	35.62	8.71	11.93	12.75	14.98	13.31	6.94
2019.526	35.62	8.71	11.93	12.74	14.99	13.31	6.94
2019.529	35.62	8.71	11.93	12.72	15.02	13.31	6.94
2019.532	35.62	8.71	11.93	12.69	15.05	13.31	6.94
2019.534	35.62	8.71	11.93	12.67	15.07	13.31	6.94
2019.537	35.62	8.71	11.93	12.64	15.10	13.31	6.94
2019.540	35.62	8.71	11.93	12.62	15.12	13.31	6.94
2019.542	35.62	8.71	11.93	12.57	15.17	13.31	6.94
2019.545	35.62	8.71	11.93	12.57	15.17	13.31	6.94
2019.548	35.62	8.71	11.93	12.55	15.18	13.31	6.94
2019.551	35.62	8.71	11.93	12.52	15.22	13.31	6.94
2019.553	35.62	8.71	11.93	12.50	15.24	13.31	6.94
2019.556	35.62	8.71	11.99	12.41	15.27	13.31	6.94
2019.559	35.62	8.71	11.99	12.39	15.29	13.31	6.94
2019.562	35.62	8.71	11.93	12.42	15.32	13.31	6.94
2019.564	35.62	8.71	11.95	12.41	15.31	13.31	6.94
2019.567	35.62	8.71	11.99	12.41	15.28	13.31	6.94
2019.570	35.62	8.71	11.99	12.44	15.24	13.30	6.94
2019.573	35.62	8.71	11.99	12.51	15.18	13.30	6.94
2019.575	35.62	8.71	11.99	12.51	15.17	13.31	6.94
2019.578	35.62	8.71	12.01	12.49	15.17	13.31	6.94
2019.581	35.62	8.71	12.03	12.47	15.14	13.33	6.94
2019.584	35.62	8.71	12.05	12.45	15.13	13.35	6.94
2019.586	35.62	8.71	12.06	12.44	15.12	13.36	6.94
2019.589	35.62	8.71	12.07	12.43	15.12	13.36	6.94
2019.592	35.62	8.65	12.14	12.42	15.12	13.36	6.94
2019.595	35.62	8.65	12.16	12.43	15.09	13.36	6.94
2019.597	35.62	8.68	12.13	12.43	15.05	13.40	6.94
2019.600	35.62	8.71	12.05	12.47	15.04	13.41	6.94
2019.603	35.62	8.71	11.99	12.54	15.04	13.41	6.94
2019.605	35.62	8.71	11.96	12.57	15.04	13.41	6.94
2019.608	35.62	8.71	11.93	12.60	15.04	13.41	6.94
2019.611	35.62	8.71	11.93	12.60	14.97	13.49	6.94
2019.614	35.62	8.71	11.93	12.60	14.87	13.58	6.94
2019.616	35.62	8.71	11.93	12.60	14.87	13.58	6.94
2019.619	35.62	8.71	11.93	12.60	14.87	13.58	6.94
2019.622	35.62	8.71	11.93	12.61	14.85	13.58	6.94
2019.625	35.62	8.71	11.93	12.68	14.78	13.58	6.94
2019.627	35.62	8.71	11.93	12.72	14.75	13.58	7.08
2019.630	35.62	8.71	11.93	12.75	14.72	13.58	7.08
2019.633	35.62	8.71	11.93	12.75	14.72	13.58	7.08
2019.636	35.62	8.71	11.93	12.60	14.87	13.58	7.08
2019.638	35.62	8.71	11.93	12.60	14.87	13.58	7.08
2019.641	35.62	8.71	11.94	12.59	14.87	13.58	7.08
2019.644	35.62	8.71	11.95	12.58	14.87	13.58	7.08
2019.647	35.62	8.71	11.95	12.57	14.87	13.58	7.08
2019.649	35.62	8.71	11.97	12.56	14.87	13.58	7.08
2019.652	35.62	8.71	11.97	12.55	14.87	13.58	7.08
2019.655	35.62	8.71	11.99	12.54	14.87	13.58	7.08
2019.658	35.51	8.83	11.99	12.53	14.88	13.57	7.08
2019.660	35.51	8.78	12.06	12.52	14.88	13.57	7.08
2019.663	35.51	8.72	12.12	12.48	14.91	13.57	7.08
2019.666	35.51	8.67	12.21	12.45	14.91	13.57	7.08
2019.668	35.51	8.62	12.29	12.34	14.99	13.57	7.08
2019.671	35.51	8.56	12.30	12.28	15.09	13.57	7.08
2019.674	35.51	8.52	12.34	12.28	15.13	13.53	7.08
2019.677	35.56	8.47	12.23	12.52	15.02	13.51	7.08
2019.679	35.62	8.41	12.23	12.57	14.99	13.49	7.08
2019.682	35.62	8.41	12.23	12.57	15.02	13.46	7.08
2019.685	35.62	8.41	12.24	12.59	15.03	13.42	7.08
2019.688	35.62	8.41	12.27	12.54	15.11	13.37	7.08
2019.690	35.62	8.41	12.29	12.51	15.13	13.35	7.08
2019.693	35.62	8.41	12.32	12.49	15.15	13.32	7.08
2019.696	35.62	8.41	12.31	12.49	15.17	13.31	7.08
2019.699	35.62	8.41	12.30	12.51	15.17	13.31	7.08
2019.701	35.62	8.41	12.23	12.57	15.17	13.31	7.08
2019.704	35.68	8.32	12.26	12.57	15.17	13.31	7.08
2019.707	35.68	8.28	12.30	12.58	15.17	13.31	7.08
2019.710	35.69	8.22	12.33	12.60	15.17	13.31	7.08
2019.712	35.70	8.16	12.36	12.61	15.17	13.31	7.08
2019.715	35.69	8.12	12.40	12.62	15.17	13.31	7.08
2019.718	35.68	8.08	12.44	12.63	15.17	13.31	7.08
2019.721	35.68	8.06	12.46	12.64	15.17	13.31	7.08
2019.723	35.68	8.05	12.42	12.68	15.17	13.31	7.08
2019.726	35.68	8.05	12.38	12.72	15.17	13.31	6.94
2019.729	35.68	8.05	12.37	12.73	15.17	13.32	6.93
2019.732	35.68	8.05	12.24	12.86	15.17	13.34	6.91
2019.734	35.68	8.05	12.23	12.87	15.17	13.35	6.89
2019.737	35.68	8.05	12.22	12.88	15.17	13.33	6.91
2019.740	35.70	8.03	12.21	12.89	15.17	13.31	6.93
2019.742	35.72	8.01	12.20	12.90	15.17	13.31	6.93
2019.745	35.74	7.96	12.22	12.91	15.17	13.24	7.00
2019.748	35.76	7.94	12.21	12.92	15.17	13.16	7.07
2019.751	35.80	7.91	12.20	12.94	15.17	13.12	7.12
2019.753	35.81	7.89	12.19	12.95	15.17	13.12	7.12
2019.756	35.83	7.87	12.17	12.96	15.15	13.14	7.12
2019.759	35.85	7.85	12.21	12.75	15.30	13.16	7.11
2019.762	35.87	7.83	12.24	12.74	15.28	13.16	7.11
2019.764	35.91	7.16	12.91	12.72	15.26	13.16	7.11
2019.767	35.91	7.16	13.00	12.65	15.28	13.04	7.18
2019.770	35.68	7.38	13.15	12.52	15.26	13.04	7.18
2019.773	35.68	7.38	13.13	12.56	15.24	13.04	7.18
2019.775	35.68	7.38	13.11	12.60	15.22	13.04	7.18
2019.778	35.68	7.38	13.09	12.64	15.20	12.94	7.28
2019.781	35.68	7.38	13.06	12.70	15.19	12.93	7.29
2019.784	35.68	7.38	13.04	12.72	15.18	12.92	7.30
2019.786	35.68	7.38	13.03	12.72	15.19	12.92	7.30
2019.789	35.68	7.43	13.07	12.68	15.14	12.92	7.31
2019.792	35.68	7.38	13.19	12.58	15.16	12.91	7.31
2019.795	35.68	7.38	13.20	12.60	15.12	12.91	7.32
2019.797	35.68	7.38	13.20	12.57	15.15	12.91	7.31
2019.800	35.68	7.38	13.20	12.57	15.14	12.90	7.30
2019.803	35.68	7.38	13.20	12.57	15.14	12.90	7.29
2019.805	35.64	7.42	13.20	12.59	15.08	12.93	7.28
2019.808	35.62	7.45	13.20	12.60	15.06	12.94	7.28
2019.811	35.62	7.45	13.20	12.60	15.05	12.95	7.28
2019.814	35.62	7.45	13.20	12.60	15.05	12.95	7.28
2019.816	35.62	7.47	13.14	12.64	15.05	12.96	7.28
2019.819	35.62	7.51	13.00	12.72	15.06	12.96	7.28
2019.822	35.62	7.53	12.93	12.75	15.06	12.97	7.28
2019.825	35.62	7.57	12.96	12.64	15.10	12.97	7.28
2019.827	35.62	7.59	13.06	12.50	15.13	12.97	7.28
2019.830	35.62	7.63	13.02	12.53	15.04	13.03	7.28
