X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
2019.501	51.74	8.41	12.53	14.04	12.07	10.49	5.34
2019.504	51.74	8.41	12.53	14.04	12.07	10.49	5.34
2019.507	51.74	8.41	12.53	14.04	12.07	10.49	5.34
2019.510	51.74	8.41	12.53	14.04	12.07	10.49	5.34
2019.512	51.74	8.41	12.53	14.04	12.07	10.49	5.34
2019.515	51.74	8.41	12.53	14.04	12.07	10.49	5.34
2019.518	51.74	8.41	12.53	14.04	12.07	10.49	5.34
2019.521	51.74	8.41	12.51	14.06	12.07	10.49	5.34
2019.523	51.74	8.41	12.49	14.09	12.07	10.49	5.34
2019.526	51.74	8.41	12.49	14.09	12.07	10.49	5.34
2019.529	51.74	8.41	12.49	14.09	12.07	10.49	5.34
2019.532	51.74	8.41	12.49	14.05	12.10	10.49	5.34
2019.534	51.74	8.41	12.49	14.05	12.10	10.49	5.34
2019.537	51.74	8.41	12.49	14.05	12.10	10.49	5.34
2019.540	51.74	8.41	12.49	14.05	12.10	10.49	5.34
2019.542	51.74	8.41	12.49	14.05	12.10	10.49	5.34
2019.545	51.74	8.41	12.52	14.02	12.10	10.49	5.34
2019.548	51.74	8.41	12.53	14.01	12.10	10.49	5.34
2019.551	51.74	8.41	12.53	14.01	12.10	10.49	5.34
2019.553	51.74	8.41	12.53	14.01	12.10	10.49	5.34
2019.556	51.74	8.41	12.53	14.01	12.10	10.49	5.34
2019.559	51.74	8.41	12.53	14.01	12.10	10.49	5.34
2019.562	51.74	8.41	12.54	14.00	12.10	10.48	5.34
2019.564	51.74	8.41	12.54	14.00	12.10	10.48	5.34
2019.567	51.74	8.41	12.54	14.00	12.10	10.48	5.34
2019.570	51.74	8.41	12.54	13.98	12.13	10.48	5.32
2019.573	51.74	8.41	12.54	13.98	12.13	10.48	5.32
2019.575	51.74	8.41	12.54	13.98	12.13	10.48	5.32
2019.578	51.74	8.41	12.54	13.98	12.13	10.48	5.32
2019.581	51.74	8.41	12.54	13.99	12.12	10.48	5.32
2019.584	51.74	8.41	12.54	14.00	12.11	10.48	5.32
2019.586	51.74	8.40	12.55	14.00	12.11	10.48	5.32
2019.589	51.74	8.39	12.55	14.00	12.11	10.48	5.32
2019.592	51.74	8.39	12.56	14.00	12.11	10.48	5.31
2019.595	51.74	8.38	12.57	14.00	12.11	10.47	5.31
2019.597	51.74	8.37	12.58	14.00	12.11	10.47	5.30
2019.600	51.74	8.37	12.58	14.00	12.12	10.47	5.29
2019.603	51.74	8.37	12.58	14.00	12.12	10.47	5.28
2019.605	51.74	8.37	12.58	13.98	12.14	10.46	5.28
2019.608	51.74	8.37	12.59	13.97	12.14	10.46	5.27
2019.611	51.74	8.37	12.61	13.95	12.15	10.46	5.26
2019.614	51.74	8.37	12.61	13.94	12.15	10.41	5.30
2019.616	51.74	8.37	12.59	13.96	12.14	10.31	5.40
2019.619	51.74	8.37	12.60	13.95	12.14	10.31	5.40
2019.622	51.74	8.37	12.61	13.94	12.14	10.13	5.58
2019.625	51.74	8.34	12.61	13.98	12.17	10.11	5.58
2019.627	51.74	8.30	12.65	13.98	12.17	10.11	5.58
2019.630	51.74	8.30	12.65	13.97	12.18	10.10	5.58
2019.633	51.74	8.30	12.65	13.96	12.20	10.10	5.58
2019.636	51.74	8.30	12.65	13.95	12.20	10.10	5.57
2019.638	51.74	8.37	12.58	13.96	12.20	10.10	5.57
2019.641	51.74	8.37	12.58	13.96	12.19	10.10	5.57
2019.644	51.74	8.37	12.61	13.94	12.19	10.10	5.57
2019.647	51.74	8.37	12.64	13.92	12.18	10.10	5.57
2019.649	51.74	8.37	12.58	13.98	12.18	10.10	5.57
2019.652	51.74	8.37	12.58	13.99	12.17	10.10	5.57
2019.655	51.74	8.37	12.58	14.00	12.16	10.10	5.57
2019.658	51.74	8.37	12.58	14.00	12.16	10.28	5.39
2019.660	51.74	8.37	12.58	14.00	12.12	10.31	5.39
2019.663	51.74	8.37	12.58	14.00	12.12	10.31	5.39
2019.666	51.74	8.37	12.58	14.00	12.12	10.31	5.39
2019.668	51.74	8.30	12.65	14.00	12.12	10.31	5.39
2019.671	51.74	8.30	12.65	14.00	12.12	10.31	5.39
2019.674	51.74	8.30	12.65	14.00	12.12	10.19	5.56
2019.677	51.74	8.30	12.65	14.00	12.12	10.13	5.62
2019.679	51.74	8.30	12.65	14.00	12.12	10.13	5.62
2019.682	51.74	8.30	12.65	14.00	12.12	10.13	5.62
2019.685	51.74	8.30	12.65	14.03	12.10	10.13	5.62
2019.688	51.73	8.31	12.60	14.09	12.08	10.13	5.62
2019.690	51.69	8.28	12.67	14.09	12.08	10.13	5.62
2019.693	51.62	8.26	12.80	14.05	12.08	10.13	5.62
2019.696	51.51	8.37	12.80	14.05	12.08	10.13	5.62
2019.699	51.45	8.44	12.80	14.05	12.11	10.10	5.62
2019.701	51.45	8.44	12.84	14.01	12.11	10.10	5.62
2019.704	51.45	8.44	12.83	14.01	12.11	10.10	5.62
2019.707	51.45	8.44	12.84	14.04	12.07	10.10	5.62
2019.710	51.45	8.44	12.81	14.11	12.04	10.10	5.62
2019.712	51.45	8.44	12.83	14.05	12.07	10.10	5.62
2019.715	51.54	8.34	12.84	14.04	12.06	10.11	5.62
2019.718	51.52	8.37	12.83	14.05	12.04	10.13	5.62
2019.721	51.40	8.50	12.81	14.06	12.04	10.14	5.62
2019.723	51.25	8.66	12.81	14.05	12.03	10.15	5.62
2019.726	51.09	8.82	12.81	14.04	12.02	10.15	5.62
2019.729	51.11	8.79	12.82	14.04	12.02	10.15	5.62
2019.732	51.13	8.77	12.83	14.04	12.02	10.15	5.62
2019.734	51.15	8.74	12.83	14.04	12.02	10.15	5.62
2019.737	51.17	8.71	12.87	14.01	12.03	10.15	5.62
2019.740	51.19	8.72	12.86	13.98	12.04	10.15	5.62
2019.742	51.21	8.72	12.85	13.95	12.06	10.15	5.62
2019.745	51.23	8.73	12.84	13.93	12.06	10.15	5.62
2019.748	51.25	8.73	12.83	13.92	12.06	10.15	5.62
2019.751	51.27	8.73	12.83	13.90	12.06	10.15	5.62
2019.753	51.28	8.72	12.85	13.88	12.06	10.15	5.62
2019.756	51.30	8.72	12.84	13.87	12.06	10.15	5.62
2019.759	51.34	8.69	12.80	13.90	12.06	10.15	5.62
2019.762	51.36	8.68	12.78	13.91	12.06	10.15	5.62
2019.764	51.38	8.67	12.74	13.95	12.02	10.19	5.62
2019.767	51.38	8.66	12.75	13.96	12.00	10.19	5.62
2019.770	51.39	8.66	12.79	13.93	11.99	10.19	5.62
2019.773	51.39	8.65	12.81	13.97	11.93	10.19	5.62
2019.775	51.40	8.64	12.82	13.96	11.93	10.19	5.62
2019.778	51.41	8.64	12.85	13.93	11.93	10.19	5.62
2019.781	51.41	8.63	12.85	13.93	11.93	10.19	5.62
2019.784	51.42	8.62	12.85	13.97	11.89	10.19	5.62
2019.786	51.43	8.62	12.85	13.97	11.89	10.19	5.63
2019.789	51.43	8.62	12.84	13.97	11.89	10.19	5.63
2019.792	51.38	8.67	12.83	13.97	11.91	10.19	5.63
2019.795	51.26	8.78	12.81	13.97	11.92	10.19	5.65
2019.797	51.29	8.76	12.80	13.94	11.96	10.19	5.66
2019.800	51.50	8.55	12.79	13.98	11.95	10.16	5.66
2019.803	51.56	8.48	12.78	14.00	11.94	10.18	5.66
