X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
2019.501	45.67	7.92	14.92	15.87	11.01	9.66	6.16
2019.504	45.67	7.92	14.93	15.85	11.01	9.66	6.16
2019.507	45.67	7.92	14.95	15.84	11.01	9.66	6.16
2019.510	45.67	7.92	14.96	15.82	11.01	9.66	6.16
2019.512	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.515	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.518	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.521	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.523	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.526	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.529	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.532	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.534	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.537	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.540	45.67	7.95	14.85	15.91	11.01	9.66	6.16
2019.542	45.67	7.95	14.80	15.96	11.01	9.66	6.16
2019.545	45.67	7.95	14.81	15.95	11.01	9.66	6.16
2019.548	45.67	7.95	14.82	15.94	11.01	9.66	6.16
2019.551	45.67	7.95	14.83	15.93	11.01	9.66	6.16
2019.553	45.67	7.95	14.84	15.96	10.97	9.66	6.16
2019.556	45.67	7.95	14.85	15.97	10.95	9.66	6.16
2019.559	45.67	7.95	14.85	15.99	10.93	9.66	6.16
2019.562	45.67	7.95	14.85	16.00	10.91	9.66	6.16
2019.564	45.67	7.95	14.85	16.01	10.91	9.66	6.16
2019.567	45.67	7.92	14.88	15.98	10.94	9.66	6.16
2019.570	45.67	7.92	14.88	15.91	11.01	9.66	6.16
2019.573	45.67	7.92	14.88	15.88	11.04	9.66	6.34
2019.575	45.67	7.92	14.88	15.88	11.04	9.66	6.54
2019.578	45.67	7.92	14.88	15.88	11.04	9.66	6.54
2019.581	45.67	7.92	14.88	15.88	11.04	9.66	6.54
2019.584	45.59	8.01	14.88	15.88	11.04	9.66	6.54
2019.586	45.38	8.21	14.88	15.84	11.07	9.66	6.54
2019.589	45.36	8.24	14.88	15.83	11.08	9.66	6.54
2019.592	45.36	8.24	14.96	15.76	11.08	9.66	6.54
2019.595	45.36	8.24	15.02	15.70	11.08	9.66	6.54
2019.597	45.36	8.24	15.02	15.70	11.08	9.66	6.54
2019.600	45.36	8.24	15.04	15.67	11.09	9.66	6.54
2019.603	45.36	8.24	15.06	15.63	11.10	9.66	6.54
2019.605	45.36	8.23	15.09	15.60	11.11	9.66	6.54
2019.608	45.36	8.23	15.10	15.57	11.13	9.66	6.54
2019.611	45.37	8.22	15.11	15.53	11.16	9.66	6.54
2019.614	45.38	8.22	15.12	15.45	11.23	9.66	6.54
2019.616	45.38	8.21	15.12	15.40	11.27	9.66	6.54
2019.619	45.39	8.20	15.13	15.39	11.27	9.66	6.54
2019.622	45.40	8.20	15.13	15.39	11.27	9.66	6.54
2019.625	45.42	8.18	15.13	15.39	11.27	9.66	6.54
2019.627	45.40	8.20	15.13	15.40	11.27	9.66	6.54
2019.630	45.39	8.20	15.13	15.37	11.29	9.66	6.54
2019.633	45.38	8.20	15.14	15.27	11.39	9.71	6.49
2019.636	45.37	8.20	15.16	15.27	11.39	9.77	6.43
2019.638	45.37	8.20	15.16	15.26	11.40	9.77	6.43
2019.641	45.36	8.21	15.16	15.26	11.41	9.77	6.43
2019.644	45.36	8.21	15.17	15.23	11.41	9.77	6.43
2019.647	45.36	8.21	15.18	15.22	11.42	9.77	6.43
2019.649	45.36	8.21	15.20	15.19	11.44	9.77	6.43
2019.652	45.36	8.21	15.20	15.18	11.46	9.74	6.43
2019.655	45.36	8.21	15.20	15.18	11.48	9.73	6.43
2019.658	45.36	8.21	15.20	15.18	11.50	9.71	6.43
2019.660	45.36	8.21	15.20	15.18	11.52	9.69	6.43
2019.663	45.36	8.21	15.20	15.18	11.52	9.69	6.43
2019.666	45.37	8.20	15.18	15.20	11.52	9.72	6.40
2019.668	45.37	8.20	15.13	15.25	11.52	9.72	6.40
2019.671	45.38	8.19	15.04	15.34	11.52	9.72	6.40
2019.674	45.39	8.18	15.08	15.29	11.53	9.72	6.40
2019.677	45.41	8.16	15.14	15.23	11.53	9.72	6.40
2019.679	45.49	8.08	15.17	15.20	11.53	9.72	6.40
2019.682	45.65	7.92	15.20	15.17	11.53	9.72	6.40
2019.685	45.68	7.89	15.24	15.17	11.49	9.72	6.40
2019.688	45.68	7.90	15.33	15.12	11.43	9.72	6.40
2019.690	45.69	7.91	15.46	15.02	11.40	9.72	6.51
2019.693	45.69	7.90	15.48	15.01	11.38	9.72	6.53
2019.696	45.70	7.90	15.48	15.01	11.38	9.72	6.53
2019.699	45.70	7.89	15.48	15.03	11.36	9.72	6.53
2019.701	45.68	7.91	15.48	15.06	11.34	9.72	6.53
2019.704	45.67	7.93	15.48	15.09	11.30	9.72	6.53
2019.707	45.69	7.90	15.48	15.11	11.29	9.72	6.53
2019.710	45.70	7.89	15.48	15.15	11.25	9.72	6.53
2019.712	45.70	7.89	15.48	15.15	11.24	9.72	6.53
2019.715	45.70	7.90	15.48	15.15	11.23	9.73	6.53
2019.718	45.69	7.90	15.48	15.15	11.22	9.74	6.53
2019.721	45.69	7.90	15.49	15.14	11.21	9.78	6.50
2019.723	45.69	7.91	15.52	15.11	11.21	9.77	6.51
2019.726	45.68	7.91	15.54	15.09	11.23	9.74	6.52
2019.729	45.68	7.91	15.55	15.07	11.25	9.72	6.53
2019.732	45.67	7.92	15.56	15.05	11.26	9.72	6.53
2019.734	45.67	7.92	15.58	15.04	11.26	9.72	6.53
2019.737	45.67	7.90	15.62	15.02	11.26	9.72	6.53
2019.740	45.67	7.90	15.64	14.98	11.28	9.72	6.53
2019.742	45.67	7.90	15.66	14.94	11.30	9.72	6.53
2019.745	45.67	7.92	15.65	14.93	11.30	9.72	6.53
2019.748	45.67	7.92	15.66	14.95	11.27	9.72	6.53
2019.751	45.67	7.92	15.67	14.95	11.26	9.72	6.53
2019.753	45.67	7.92	15.63	14.99	11.26	9.72	6.53
2019.756	45.67	7.92	15.48	15.14	11.26	9.72	6.53
2019.759	45.51	8.09	15.48	15.14	11.21	9.76	6.53
2019.762	45.36	8.24	15.48	15.14	11.20	9.77	6.53
2019.764	45.35	8.24	15.48	15.15	11.20	9.77	6.52
2019.767	45.35	8.23	15.48	15.16	11.21	9.76	6.51
2019.770	45.35	8.23	15.48	15.18	11.21	9.75	6.50
2019.773	45.34	8.23	15.46	15.20	11.22	9.74	6.49
2019.775	45.34	8.23	15.45	15.21	11.22	9.74	6.40
2019.778	45.33	8.24	15.34	15.32	11.24	9.72	6.40
2019.781	45.33	8.24	15.30	15.37	11.23	9.72	6.40
2019.784	45.33	8.24	15.31	15.44	11.15	9.72	6.40
2019.786	45.32	8.25	15.32	15.43	11.15	9.72	6.40
2019.789	45.32	8.25	15.33	15.43	11.14	9.72	6.40
2019.792	45.31	8.26	15.33	15.42	11.14	9.72	6.40
2019.795	45.31	8.26	15.35	15.40	11.12	9.74	6.40
2019.797	45.31	8.26	15.36	15.32	11.21	9.73	6.40
2019.800	45.30	8.27	15.40	15.25	11.24	9.71	6.40
2019.803	45.30	8.27	15.43	15.23	11.28	9.68	6.40
2019.805	45.30	8.27	15.44	15.21	11.31	9.65	6.40
2019.808	45.30	8.27	15.44	15.22	11.33	9.63	6.40
2019.811	45.35	8.23	15.43	15.19	11.33	9.65	6.40
2019.814	45.37	8.19	15.47	15.15	11.35	9.67	6.38
2019.816	45.39	8.15	15.50	15.11	11.38	9.69	6.37
2019.819	45.38	8.15	15.51	15.04	11.44	9.69	6.37
2019.822	45.29	8.23	15.52	15.01	11.48	9.68	6.37
2019.825	45.24	8.27	15.47	15.17	11.39	9.68	6.37
2019.827	45.19	8.31	15.41	15.19	11.42	9.70	6.38
2019.830	45.13	8.35	15.49	14.99	11.55	9.70	6.38
2019.833	45.07	8.41	15.60	14.86	11.59	9.74	6.32
2019.836	45.01	8.45	15.61	14.83	11.62	9.74	6.29
2019.838	44.91	8.54	15.57	14.86	11.64	9.73	6.23
2019.841	44.86	8.59	15.58	14.91	11.58	9.72	5.94
2019.844	44.80	8.63	15.59	14.96	11.54	9.72	5.92
2019.847	44.75	8.67	15.63	14.93	11.54	9.73	5.90
2019.849	44.69	8.71	15.63	14.77	11.72	9.69	5.86
2019.852	44.64	8.54	15.85	14.80	11.69	9.68	5.80
2019.855	44.58	8.45	16.01	14.81	11.67	9.68	5.73
2019.858	44.48	8.47	16.12	14.81	11.64	9.67	5.67
2019.860	44.43	8.50	16.22	14.73	11.64	9.66	5.61
2019.863	44.38	8.54	16.26	14.75	11.70	9.53	5.57
2019.866	44.32	8.63	16.25	14.79	11.65	9.51	5.53
2019.868	44.27	8.74	16.21	14.72	11.72	9.50	5.53
2019.871	44.23	8.86	16.16	14.68	11.73	9.50	5.53
2019.874	44.16	9.00	16.10	14.60	11.80	9.49	5.53
2019.877	44.15	9.08	16.04	14.49	11.91	9.48	5.53
2019.879	44.14	9.16	15.97	14.45	11.96	9.47	5.53
2019.882	44.14	9.23	15.92	14.46	11.96	9.49	5.50
2019.885	44.13	9.24	15.92	14.46	11.95	9.48	5.50
2019.888	44.13	9.24	15.92	14.41	12.01	9.47	5.50
2019.890	44.12	9.25	15.70	14.59	12.08	9.44	5.50
2019.893	44.12	9.26	15.70	14.58	12.13	9.40	5.50
2019.896	44.12	9.27	15.69	14.51	12.20	9.40	5.50
2019.899	44.11	9.27	15.69	14.46	12.26	9.39	5.50
2019.901	44.11	9.28	15.72	14.41	12.23	9.42	5.51
2019.904	44.11	9.29	15.76	14.38	12.20	9.45	5.51
2019.907	43.94	9.42	15.83	14.37	12.14	9.48	5.51
2019.910	43.74	9.54	15.94	14.34	12.10	9.51	5.52
2019.912	43.73	9.48	15.97	14.38	12.08	9.53	5.55
2019.915	43.73	9.41	15.95	14.46	12.06	9.56	5.70
2019.918	43.72	9.34	16.02	14.46	12.06	9.57	5.86
2019.921	43.72	9.31	16.04	14.39	12.12	9.57	5.99
2019.923	44.02	8.99	16.07	14.38	12.13	9.58	6.02
2019.926	44.10	8.89	16.09	14.42	12.08	9.58	6.04
2019.929	44.10	8.87	16.11	14.44	12.04	9.60	6.05
2019.932	44.10	8.84	16.13	14.43	12.05	9.60	6.05
2019.934	44.10	8.85	16.12	14.43	12.13	9.53	6.06
2019.937	44.10	8.85	16.10	14.45	12.23	9.43	6.06
2019.940	44.10	8.69	16.25	14.46	12.23	9.41	6.06
2019.942	44.10	8.48	16.45	14.47	12.21	9.44	6.06
2019.945	44.10	8.26	16.58	14.56	12.19	9.46	6.06
2019.948	44.10	8.15	16.55	14.69	12.18	9.48	6.06
2019.951	44.10	8.15	16.54	14.70	12.17	9.49	6.06
2019.953	44.10	8.16	16.51	14.71	12.16	9.51	6.06
2019.956	44.10	8.21	16.44	14.73	12.15	9.52	6.31
2019.959	44.10	8.27	16.36	14.74	12.12	9.55	6.44
2019.962	44.03	8.39	16.29	14.76	12.12	9.56	6.45
2019.964	43.86	8.60	16.23	14.77	12.11	9.57	6.45
2019.967	43.73	8.75	16.20	14.78	12.09	9.59	6.45
2019.970	43.70	8.81	16.15	14.74	12.14	9.60	6.45
2019.973	43.65	8.91	16.09	14.74	12.14	9.60	6.45
2019.975	43.64	9.02	15.96	14.77	12.17	9.58	6.45
2019.978	43.64	9.22	15.74	14.79	12.20	9.55	6.45
2019.981	43.64	9.19	15.73	14.83	12.16	9.58	6.45
2019.984	43.66	9.14	15.73	14.87	12.14	9.60	6.46
2019.986	43.67	9.12	15.70	14.90	12.13	9.60	6.47
2019.989	43.68	9.56	15.22	14.91	12.13	9.59	6.49
2019.992	43.73	9.53	15.19	14.92	12.13	9.59	6.49
2019.995	43.82	9.46	15.17	14.93	12.13	9.62	6.46
2019.997	43.84	9.02	15.58	14.93	12.13	9.62	6.46
2020.000	44.02	8.79	15.63	14.94	12.13	9.61	6.46
2020.003	44.12	8.70	15.63	14.94	12.13	9.61	6.46
2020.005	44.13	8.70	15.60	14.95	12.13	9.61	6.46
2020.008	44.14	8.68	15.65	14.91	12.12	9.61	6.46
2020.011	44.10	8.73	15.70	14.86	12.11	9.62	6.46
2020.014	44.10	8.73	15.69	14.87	12.09	9.64	6.46
2020.016	44.10	8.74	15.63	14.94	12.06	9.64	6.47
2020.019	44.10	8.75	15.62	14.96	12.01	9.63	6.50
2020.022	44.10	8.77	15.60	14.98	11.99	9.64	6.50
2020.025	43.85	9.05	15.54	15.02	11.97	9.63	6.49
2020.027	43.64	9.27	15.52	15.03	11.95	9.60	6.53
2020.030	43.63	9.27	15.51	15.05	11.95	9.60	6.52
2020.033	43.63	9.25	15.53	15.03	11.97	9.60	6.53
2020.036	43.63	9.24	15.41	15.18	11.97	9.60	6.55
2020.038	43.63	9.22	15.39	15.21	11.96	9.60	6.56
2020.041	43.63	9.20	15.39	15.23	11.95	9.61	6.57
2020.044	43.63	9.19	15.40	15.21	11.97	9.61	6.57
2020.047	43.63	9.15	15.43	15.23	11.95	9.61	6.57
2020.049	43.63	9.15	15.44	15.25	11.94	9.61	6.57
2020.052	43.63	9.15	15.45	15.25	11.96	9.61	6.54
2020.055	43.63	9.15	15.48	15.22	11.97	9.59	6.54
2020.058	43.63	9.15	15.51	15.23	11.95	9.57	6.55
2020.060	43.63	9.15	15.57	15.18	11.97	9.54	6.55
