X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.001	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.004	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.007	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.010	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.012	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.015	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.018	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.021	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.023	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.026	48.95	57.98	72.30	86.42	98.58	108.26	114.31
0.029	48.95	58.00	72.30	86.42	98.58	108.26	114.31
0.032	48.95	58.00	72.33	86.42	98.58	108.26	114.31
0.034	48.95	58.00	72.27	86.42	98.58	108.26	114.31
0.037	48.95	57.98	72.25	86.41	98.58	108.26	114.31
0.040	48.95	57.98	72.25	86.41	98.58	108.26	114.31
0.042	48.95	57.98	72.25	86.41	98.58	108.26	114.31
0.045	48.95	57.98	72.24	86.41	98.58	108.26	114.31
0.048	48.95	57.98	72.23	86.40	98.58	108.26	114.31
0.051	48.95	57.98	72.23	86.40	98.58	108.26	114.31
0.053	48.95	57.98	72.23	86.40	98.58	108.26	114.31
0.056	48.95	57.98	72.23	86.40	98.58	108.26	114.31
0.059	48.95	57.98	72.23	86.40	98.58	108.26	114.31
0.062	48.95	57.97	72.23	86.40	98.58	108.28	114.31
0.064	48.95	57.98	72.23	86.40	98.58	108.28	114.31
0.067	48.95	57.98	72.23	86.40	98.58	108.28	114.31
0.070	48.95	57.98	72.23	86.40	98.58	108.28	114.31
0.073	48.95	57.98	72.23	86.35	98.58	108.28	114.30
0.075	48.95	57.98	72.23	86.40	98.58	108.28	114.30
0.078	48.94	57.98	72.23	86.40	98.58	108.28	114.30
0.081	48.94	57.98	72.23	86.40	98.58	108.28	114.30
0.084	48.94	57.89	72.25	86.40	98.58	108.28	114.30
0.086	48.94	57.89	72.26	86.40	98.58	108.28	114.30
0.089	48.94	57.89	72.25	86.40	98.58	108.28	114.31
0.092	48.94	57.89	72.28	86.40	98.58	108.28	114.31
0.095	48.94	57.89	72.30	86.41	98.58	108.28	114.31
0.097	48.94	57.89	72.29	86.42	98.58	108.28	114.31
0.100	48.94	57.89	72.27	86.42	98.57	108.28	114.31
0.103	48.93	57.89	72.24	86.42	98.56	108.28	114.30
0.105	48.92	57.89	72.23	86.40	98.56	108.28	114.30
0.108	48.92	57.89	72.30	86.40	98.54	108.28	114.30
0.111	48.92	57.89	72.30	86.40	98.53	108.28	114.30
0.114	48.94	57.89	72.30	86.40	98.53	108.28	114.30
0.116	48.94	57.89	72.30	86.36	98.53	108.28	114.30
0.119	48.94	57.89	72.30	86.36	98.51	108.28	114.30
0.122	48.94	57.89	72.24	86.38	98.53	108.26	114.30
0.125	48.94	57.94	72.14	86.41	98.53	108.23	114.30
