  'm-h': `X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.000000000	54.66	9.70	11.94	14.23	12.35	8.81	4.47
0.002739726	54.66	9.70	11.94	14.23	12.35	8.81	4.47
0.005479452	54.66	9.70	11.86	14.28	12.29	8.89	4.47
0.008219178	54.66	9.76	11.80	14.28	12.22	8.96	4.47
0.010958904	54.66	9.87	11.69	14.23	12.27	8.96	4.47
0.013698630	54.66	9.87	11.69	14.23	12.27	8.96	4.41
0.016438356	54.53	9.91	11.76	14.18	12.37	8.94	4.41
0.019178082	54.53	9.91	11.76	14.13	12.42	8.81	4.54
0.021917808	54.53	9.85	11.99	13.90	12.48	8.78	4.56
0.024657534	54.63	9.84	11.95	13.77	12.40	8.94	4.56
0.027397260	54.63	9.84	11.95	13.77	12.52	8.81	4.56
0.030136986	54.63	9.84	12.08	13.67	12.49	8.81	4.56
0.032876712	54.63	9.84	12.08	13.67	12.49	8.81	4.57
0.035616438	54.63	9.84	12.09	13.67	12.49	8.81	4.57
0.038356164	54.63	9.85	12.03	13.71	12.37	8.93	4.50
0.041095890	54.63	9.85	12.00	13.74	12.37	8.93	4.50
0.043835616	54.63	9.85	12.00	13.74	12.30	9.01	4.50
0.046575342	54.62	9.85	12.08	13.65	12.33	9.04	4.52
0.049315068	54.62	9.85	12.12	13.61	12.33	9.04	4.52
0.052054795	54.62	9.85	12.12	13.57	12.32	9.07	4.54
0.054794521	54.62	9.85	12.17	13.51	12.32	9.07	4.54
0.057534247	54.57	9.91	12.17	13.51	12.30	9.04	4.54
0.060273973	54.57	9.91	12.15	13.53	12.30	9.04	4.54
0.063013699	54.57	9.91	12.20	13.52	12.26	9.04	4.54
0.065753425	54.57	9.91	12.18	13.55	12.25	9.04	4.48
0.068493151	54.57	10.09	12.01	13.51	12.28	9.04	4.48
0.071232877	54.57	10.13	11.99	13.53	12.17	9.11	4.48
0.073972603	54.64	10.06	11.90	13.62	12.12	9.37	4.77
0.076712329	54.64	10.06	12.00	13.48	12.19	9.31	5.15
0.079452055	54.64	10.06	11.97	13.51	12.19	9.31	5.15
0.082191781	54.64	10.06	11.97	13.51	12.19	9.31	5.15
0.084931507	54.64	10.06	11.97	13.51	12.23	9.28	5.15
0.087671233	54.64	10.06	11.97	13.53	12.14	9.34	5.15
0.090410959	54.64	10.06	11.97	13.46	12.21	9.33	5.16
0.093150685	54.63	9.97	12.00	13.58	12.14	9.32	5.17
0.095890411	54.63	9.97	12.00	13.58	12.14	9.32	5.17
0.098630137	54.63	9.97	12.05	13.53	12.14	9.18	5.34
0.101369863	54.63	9.97	12.05	13.53	12.14	9.18	5.34
0.104109589	54.63	9.97	12.01	13.58	12.14	9.18	5.33
0.106849315	54.63	9.97	12.00	13.64	12.09	9.10	5.42
0.109589041	54.63	9.60	12.37	13.59	12.12	9.30	5.24
0.112328767	54.63	9.60	12.37	13.65	12.06	9.30	5.24
0.115068493	54.63	9.60	12.37	13.67	12.04	9.28	5.26
0.117808219	54.63	9.60	12.37	13.66	12.05	9.28	5.26
0.120547945	55.59	8.64	12.37	13.66	12.04	9.29	5.29
0.123287671	54.52	9.71	12.42	13.60	11.95	9.38	5.17
0.126027397	54.52	9.71	12.46	13.57	11.89	9.44	5.17
0.128767123	54.52	9.71	12.46	13.39	12.07	9.44	5.17
0.131506849	54.50	9.74	12.45	13.39	12.07	9.23	5.38
0.134246575	54.50	9.74	12.45	13.39	12.07	9.23	5.38
0.136986301	54.50	9.74	12.45	13.39	12.07	9.21	5.39
0.139726027	54.50	9.75	12.42	13.41	12.07	9.21	5.39
0.142465753	55.13	9.12	12.37	13.46	12.07	9.21	5.40
0.145205479	55.13	9.12	12.24	13.59	12.07	9.21	5.29
0.147945205	55.13	9.13	12.16	13.57	12.16	9.21	5.29
0.150684932	55.13	9.13	12.27	13.47	12.16	9.21	5.29
0.153424658	55.13	9.27	12.13	13.47	12.13	9.24	5.29
0.156164384	55.15	9.25	12.13	13.47	12.10	9.27	5.29
0.158904110	55.61	8.79	12.21	13.38	12.10	9.35	5.21
0.161643836	55.61	8.80	12.29	13.30	12.08	9.37	5.22
0.164383562	55.61	8.80	12.29	13.30	12.08	9.37	5.26
0.167123288	55.61	8.75	12.33	13.30	12.08	9.37	5.26
0.169863014	56.38	8.05	12.26	13.15	12.22	9.37	5.26
0.172602740	56.38	8.05	12.29	13.15	12.10	9.47	5.15
0.175342466	56.38	8.11	12.10	13.26	12.10	9.52	5.12
0.178082192	56.56	7.86	12.17	13.36	11.92	9.59	5.12
0.180821918	56.56	7.86	12.17	13.36	11.92	9.59	5.13
0.183561644	56.56	7.86	12.09	13.44	11.92	9.59	5.13
0.186301370	56.54	7.88	12.09	13.44	11.88	9.64	5.13
0.189041096	56.56	7.86	12.09	13.34	11.85	9.76	5.13
0.191780822	56.48	7.94	12.09	13.34	11.85	9.76	5.13
0.194520548	56.48	7.94	12.09	13.36	11.88	9.71	5.14
0.197260274	56.41	8.01	12.09	13.31	11.83	9.69	5.26
0.200000000	56.41	8.01	12.09	13.40	11.75	9.68	5.27
0.202739726	56.33	8.38	11.80	13.40	11.75	9.68	5.27
0.205479452	56.33	8.39	11.79	13.40	11.72	9.71	5.28
0.208219178	56.26	8.47	11.78	13.41	11.72	9.71	5.28
0.210958904	56.26	8.47	11.78	13.41	11.83	9.51	5.37
0.213698630	56.18	8.54	11.78	13.41	11.83	9.51	5.37
0.216438356	56.18	8.54	11.78	13.47	11.84	9.44	5.37
0.219178082	56.18	8.49	11.83	13.64	11.67	9.44	5.39
